density,samp_size,seed,num_nodes,num_intervs,graph_family,method,metric_type,precision,recall,fscore,ari,runtime_sec,score
0.2,10,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0108924939995631,
0.2,100,0,10,5,sf,RePaRe,partition,0.8,1.0,0.888888888888889,0.6301369863013698,0.1119105429970659,
0.2,200,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,0.7326732673267327,0.0853841900025145,
0.2,500,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.1015575760029605,
0.2,1000,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0445889609982259,
0.2,2000,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.1178128839965211,
0.2,5000,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.1331811690033646,
0.2,10000,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.2869774120044894,
0.2,20000,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.4877225489981356,
0.2,50000,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,1.0404494940012228,
0.2,100000,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,2.2693699230003403,
0.5,10,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0090335740023874,
0.5,100,0,10,5,sf,RePaRe,partition,0.1666666666666666,1.0,0.2857142857142857,0.3382352941176471,0.0461034039981314,
0.5,200,0,10,5,sf,RePaRe,partition,0.8888888888888888,1.0,0.9411764705882352,0.775,0.0820133989982423,
0.5,500,0,10,5,sf,RePaRe,partition,0.8333333333333334,1.0,0.9090909090909092,0.2956521739130435,0.070659169999999,
0.5,1000,0,10,5,sf,RePaRe,partition,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5,0.0766934310013311,
0.5,2000,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,0.8085106382978723,0.2175420290004694,
0.5,5000,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.1915648590002092,
0.5,10000,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.4005741799992393,
0.5,20000,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.5308653130050516,
0.5,50000,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,1.300033039005939,
0.5,100000,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,2.9350354580019484,
0.8,10,0,10,5,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0094126490002963,
0.8,100,0,10,5,sf,RePaRe,partition,0.3333333333333333,1.0,0.5,0.3005181347150259,0.0266557809954974,
0.8,200,0,10,5,sf,RePaRe,partition,0.5,0.5555555555555556,0.5263157894736842,0.7761194029850746,0.2133946590038249,
0.8,500,0,10,5,sf,RePaRe,partition,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.2084602489994722,
0.8,1000,0,10,5,sf,RePaRe,partition,0.6153846153846154,0.8888888888888888,0.7272727272727274,0.725609756097561,0.1791587160041672,
0.8,2000,0,10,5,sf,RePaRe,partition,0.7222222222222222,1.0,0.8387096774193548,0.845360824742268,0.3896324769957573,
0.8,5000,0,10,5,sf,RePaRe,partition,0.6842105263157895,1.0,0.8125000000000001,0.845360824742268,0.4997915400017518,
0.8,10000,0,10,5,sf,RePaRe,partition,0.6842105263157895,1.0,0.8125000000000001,0.845360824742268,0.4444077689986443,
0.8,20000,0,10,5,sf,RePaRe,partition,0.6842105263157895,1.0,0.8125000000000001,0.845360824742268,0.88153552699805,
0.8,50000,0,10,5,sf,RePaRe,partition,0.6842105263157895,1.0,0.8125000000000001,0.845360824742268,2.516168524998648,
0.8,100000,0,10,5,sf,RePaRe,partition,0.6842105263157895,1.0,0.8125000000000001,0.845360824742268,6.241865069998312,
0.2,10,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0120635729981586,
0.2,100,1,10,5,sf,RePaRe,partition,1.0,0.6666666666666666,0.8,0.7619047619047619,0.0913972039998043,
0.2,200,1,10,5,sf,RePaRe,partition,0.6666666666666666,1.0,0.8,0.7619047619047619,0.0883396030039875,
0.2,500,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0610701280020293,
0.2,1000,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.061660175997531,
0.2,2000,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0732009309940622,
0.2,5000,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.102959584997734,
0.2,10000,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.1355520590004744,
0.2,20000,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.2207655430029262,
0.2,50000,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.4516441870000562,
0.2,100000,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,1.6220793199972832,
0.5,10,1,10,5,sf,RePaRe,partition,0.0,1.0,0.0,0.0831295843520782,0.0415341419939068,
0.5,100,1,10,5,sf,RePaRe,partition,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.845360824742268,0.2198937229986768,
0.5,200,1,10,5,sf,RePaRe,partition,0.5833333333333334,1.0,0.7368421052631579,1.0,0.1725911559988162,
0.5,500,1,10,5,sf,RePaRe,partition,0.4666666666666667,1.0,0.6363636363636364,1.0,0.5766545389997191,
0.5,1000,1,10,5,sf,RePaRe,partition,0.5882352941176471,0.9090909090909092,0.7142857142857143,1.0,0.3504267050011549,
0.5,2000,1,10,5,sf,RePaRe,partition,0.5555555555555556,0.9090909090909092,0.6896551724137931,1.0,0.4443344720057212,
0.5,5000,1,10,5,sf,RePaRe,partition,0.5555555555555556,0.9090909090909092,0.6896551724137931,1.0,0.4989159760007169,
0.5,10000,1,10,5,sf,RePaRe,partition,0.5555555555555556,0.9090909090909092,0.6896551724137931,1.0,0.6337622080027359,
0.5,20000,1,10,5,sf,RePaRe,partition,0.5555555555555556,0.9090909090909092,0.6896551724137931,1.0,1.516585416997259,
0.5,50000,1,10,5,sf,RePaRe,partition,0.5555555555555556,0.9090909090909092,0.6896551724137931,1.0,3.6161903319953126,
0.5,100000,1,10,5,sf,RePaRe,partition,0.7333333333333333,0.9166666666666666,0.8148148148148148,1.0,10.556494750999263,
0.8,10,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0093329130031634,
0.8,100,1,10,5,sf,RePaRe,partition,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0119760479041916,0.0796372400000109,
0.8,200,1,10,5,sf,RePaRe,partition,1.0,0.7777777777777778,0.8750000000000001,0.2352941176470588,0.0962012720046914,
0.8,500,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,0.2352941176470588,0.0787031449945061,
0.8,1000,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,0.3712574850299401,0.1432218049958464,
0.8,2000,1,10,5,sf,RePaRe,partition,1.0,0.9285714285714286,0.962962962962963,0.6153846153846154,0.1993459899968002,
0.8,5000,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,0.6153846153846154,0.1936303900001803,
0.8,10000,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.3725220859996625,
0.8,20000,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.6175086849980289,
0.8,50000,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,1.05241505199956,
0.8,100000,1,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,2.6650847109995084,
0.2,10,2,10,5,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0193955770009779,
0.2,100,2,10,5,sf,RePaRe,partition,0.5,0.6,0.5454545454545454,0.5360824742268041,0.2315482889971463,
0.2,200,2,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.1339673269976629,
0.2,500,2,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.1026646339960279,
0.2,1000,2,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.1739659699960611,
0.2,2000,2,10,5,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.3032535480015212,
